fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,May,26,PUNJAB,2612,FARIDKOT,187179,491.476759414562,7,20,12.0633545,352,32,1015,43523,34882,57441,0,5,0,225.9687845,5655,6396,38436,71950,0,52399,92548,1367,213.90543,30200,8,77.53,4.27,100,NA
2024-2025,May,26,PUNJAB,2620,TARN TARAN,278440,354.185642868687,10,4,9.7305925,78,217,7023,117559,91788,50234,116,18,0,426.1076924,11126,11430,50119,66828,0,105393,151484,7101,416.3770999,70646,33,66.89,9.24,103.13,NA
2024-2025,May,26,PUNJAB,2622,Pathankot,142710,499.960265827212,11,1,7.2066607,21,304,4302,14295,6129,14096,0,4,0,78.6759807,1229,1249,22985,29833,0,41912,54134,4323,71.46932,4545,27,77.65,8.99,100,NA
2024-2025,May,26,PUNJAB,2623,Fazilka,511198,287.642269187987,7,14,2.806299,57,186,4446,67425,40600,114137,18,72,0,196.749099,9347,11425,106584,201037,0,138811,252782,4503,193.9428,36966,38,56.83,0.29,100.24,NA
2024-2025,May,26,PUNJAB,2606,KAPURTHALA,97209,303.674334652285,11,19,0,447,188,4975,92245,79198,33714,193,78,0,280.12439,8324,8680,27867,40278,0,46642,66097,5422,280.12439,70449,25,25.66,6.65,103.53,NA
2024-2025,May,26,PUNJAB,2601,GURDASPUR,238138,463.350825016443,10,11,56.1467413,559,1289,6617,34969,3661,8521,5,7,0,218.1758913,3391,3508,57435,66372,0,116276,132823,7176,162.02915,15738,44,63.68,11.55,100.38,NA
2024-2025,May,26,PUNJAB,2609,PATIALA,490346,356.631632414969,7,43,24.4024757,465,1022,6797,122573,79782,86853,0,0,0,461.5365665,16064,16759,84941,131425,0,128521,185574,7262,437.1340908,99080,21,33.94,27.7,99.89,NA
2024-2025,May,26,PUNJAB,2611,BHATINDA                  ,371377,387.900874138299,6,189,0,267,318,2884,70355,57384,94948,0,8,0,272.90766,10938,11767,64900,117336,0,99891,166150,3151,272.90766,52896,10,46.78,12.61,99.72,NA
2024-2025,May,26,PUNJAB,2612,FARIDKOT,187179,504.026692189079,7,17,12.0633545,349,243,1018,37614,30177,57435,0,5,0,201.6479545,5121,5809,38430,71942,0,52397,92545,1367,189.5846,25816,8,78.43,4.79,100,NA
2024-2025,May,26,PUNJAB,2606,KAPURTHALA,97209,309.715296435608,10,19,0,447,188,4974,89328,76763,33711,193,78,0,276.66248,8186,8538,27867,40275,0,46642,66094,5421,276.66248,68183,25,25.2,6.25,103.75,NA
2024-2025,May,26,PUNJAB,2608,ROPAR,112202,503.630705443818,10,3,0,388,259,4056,50167,31558,24634,0,8,0,252.656416,4790,4895,28804,43260,0,51816,72734,4444,252.656416,39511,36,54.05,6.92,101.78,NA
2024-2025,May,26,PUNJAB,2619,SAS NAGAR MOHALI,78048,355.194974521174,10,5,2.9556302,156,129,2602,28455,13510,11037,18,7,0,104.0263602,2822,2913,15795,21920,0,33386,44296,2758,101.07073,23532,28,50.94,4.04,101.42,NA
2024-2025,May,26,PUNJAB,2620,TARN TARAN,278440,380.277592653996,11,6,9.7305925,126,183,6978,132698,102879,50251,186,18,0,514.3513524,11792,12102,50177,66911,0,105435,151532,7104,504.6207599,79312,33,67.94,9.03,104.54,NA
2024-2025,May,26,PUNJAB,2624,MALERKOTLA,58933,337.918179566125,8,5,3.3798,108,50,1080,28257,23851,15826,0,2,0,98.86534,3258,3346,12641,18565,0,19703,26942,1188,95.48554,22128,13,33.19,28.08,99.63,NA
2024-2025,May,26,PUNJAB,2601,GURDASPUR,238138,432.864133105562,11,12,56.1467413,592,907,6592,42733,4398,8538,5,7,0,241.1225713,3847,3984,57515,66461,0,116347,132896,7184,184.97583,19510,44,71.89,9.38,98.98,NA
2024-2025,May,26,PUNJAB,2604,LUDHIANA,435612,310.822633845723,8,33,8.0749161,1048,405,6235,114236,92303,73479,0,0,0,363.1462601,13735,14055,65679,87839,0,106501,133962,7283,355.071344,92087,25,85.62,5.33,100.9,NA
2024-2025,May,26,PUNJAB,2609,PATIALA,490346,349.534056473957,8,45,24.4024757,492,269,6777,162057,105924,86863,0,0,0,590.8468816,18797,19659,84969,131446,0,128498,185534,7269,566.4444059,131122,21,35.61,26.91,101.27,NA
2024-2025,May,26,PUNJAB,2619,SAS NAGAR MOHALI,78048,367.795836376917,9,5,2.9556302,156,131,2600,24642,11330,11035,12,7,0,93.5878802,2591,2664,15796,21920,0,33387,44296,2756,90.63225,20471,28,54.39,3.69,100.62,NA
2024-2025,April,26,PUNJAB,2606,KAPURTHALA,33650,314.482116175684,8,17,0,396,550,5016,54211,47015,33625,112,78,0,170.4839,6360,6597,27803,40165,0,46635,66059,5412,170.4839,41279,25,21.15,7.51,102.52,NA
2024-2025,April,26,PUNJAB,2612,FARIDKOT,30125,547.446961361724,7,17,12.0633545,299,243,1065,30902,24597,57425,0,5,0,181.2354145,4343,4902,38426,71931,0,52395,92539,1364,169.17206,21026,8,82.75,4.89,100,NA
2024-2025,April,26,PUNJAB,2616,MUKATSAR,80286,735.804383665306,6,11,11.8810289,167,271,7056,37001,30268,125373,6,66,0,284.1360089,5397,6209,76719,148844,0,104977,194156,7223,272.25498,24142,39,51.96,5.84,105.75,NA
2024-2025,May,26,PUNJAB,2616,MUKATSAR,314803,599.210624798,7,14,11.8810289,258,37,7029,58787,48142,125260,6,66,0,364.1389789,7400,8545,76722,148720,0,104912,193894,7287,352.25795,37669,40,48.45,9.7,103.08,NA
2024-2025,May,26,PUNJAB,2615,MOGA,331460,355.11140183543,9,10,0,99,100,3410,77584,70646,85386,0,15,0,275.50963,8496,9190,55283,94522,0,90329,146222,3509,275.50963,54277,12,56.2,25.78,103.57,NA
2024-2025,May,26,PUNJAB,2617,MANSA,288874,475.40252916601,7,33,0,74,36,1829,50744,40363,74471,0,0,0,241.2382594,6505,7076,48208,93281,0,82495,144167,1903,241.2382594,36243,18,42.78,21.05,101.61,NA
2024-2025,May,26,PUNJAB,2624,MALERKOTLA,58933,319.79658641161,9,7,3.3798,137,46,1057,36384,30731,15829,0,2,0,119.73459,3836,3950,12649,18573,0,19685,26913,1194,116.35479,28811,13,37.49,29.75,99.56,NA
